modified Zurich class,largest spot size,spot distribution,activity,evolution,previous 24 hour flare activity,historically-complex,became complex on this pass,area,area of largest spot,flares,flares_value
H,S,X,1,2,1,1,1,1,2,common flares,0
H,R,X,1,2,1,1,2,1,2,common flares,0
H,S,X,2,2,1,1,2,1,2,common flares,0
B,X,O,1,3,1,1,2,1,2,common flares,0
C,S,I,1,2,1,2,2,1,2,common flares,0
H,S,X,1,1,1,2,2,1,2,common flares,0
D,K,C,1,3,3,2,2,1,2,common flares,0
D,A,I,2,2,3,2,2,1,2,common flares,0
H,S,X,1,2,1,1,2,1,2,common flares,0
B,X,O,1,2,1,1,2,1,1,common flares,0
C,S,I,2,3,3,1,2,1,1,common flares,0
C,S,O,1,1,1,1,2,1,2,common flares,0
H,K,X,2,2,3,2,2,1,2,common flares,0
D,K,I,1,3,1,2,2,1,2,common flares,0
H,A,X,1,3,1,1,2,1,2,common flares,0
C,R,O,1,1,1,1,2,1,2,common flares,0
C,R,O,1,3,1,1,2,1,2,common flares,0
B,X,O,1,3,1,1,2,1,1,common flares,0
B,X,O,1,3,1,1,2,1,1,common flares,1
H,K,X,1,3,1,2,2,1,2,common flares,0
C,K,I,1,3,1,2,2,1,2,common flares,0
H,S,X,1,2,1,1,2,1,2,common flares,0
B,X,O,1,3,1,1,2,1,1,common flares,0
C,R,I,2,3,3,1,2,1,2,common flares,0
H,R,X,1,2,3,1,2,1,2,common flares,0
B,X,O,1,3,1,1,2,1,1,common flares,0
D,R,O,1,3,1,1,2,1,2,common flares,0
H,K,X,1,2,1,2,2,1,2,common flares,0
D,K,I,1,2,1,2,2,1,2,common flares,0
H,H,X,1,3,1,1,2,1,2,common flares,0
B,X,I,1,3,1,1,2,1,1,common flares,0
B,X,O,1,3,1,1,2,1,1,common flares,0
B,X,I,1,3,1,1,2,1,1,common flares,0
D,R,O,2,2,1,1,2,1,2,common flares,1
H,A,X,1,3,1,2,2,1,2,common flares,0
C,K,O,1,2,1,2,2,1,2,common flares,0
H,S,X,1,2,1,1,2,1,2,common flares,0
B,X,O,1,2,1,1,2,1,1,common flares,0
B,X,O,1,2,1,1,2,1,1,common flares,1
C,R,O,1,3,1,1,2,1,1,common flares,0
B,X,I,1,3,1,1,2,1,1,common flares,0
C,A,O,1,3,1,2,2,1,2,common flares,0
C,K,I,1,2,1,2,2,1,2,common flares,0
H,S,X,1,2,1,1,2,1,2,common flares,0
D,S,I,1,3,1,1,2,1,1,common flares,0
B,X,O,1,2,1,1,2,1,1,common flares,0
B,X,O,2,2,1,1,2,1,1,common flares,0
H,S,X,1,2,1,1,1,1,2,common flares,0
H,A,X,1,3,1,1,2,1,2,common flares,0
C,K,I,1,3,1,2,2,1,2,common flares,2
B,X,O,1,3,1,1,2,1,2,common flares,0
H,S,X,1,3,1,1,1,1,2,common flares,0
C,S,O,1,3,1,1,2,1,2,common flares,0
C,A,I,1,3,1,1,2,1,2,common flares,0
H,S,X,1,3,1,1,1,1,2,common flares,0
D,S,O,1,3,1,1,2,1,2,common flares,1
C,S,O,1,2,3,2,2,1,2,common flares,0
B,X,O,1,2,1,1,2,1,1,common flares,0
H,S,X,1,2,1,1,1,1,2,common flares,0
C,S,O,1,3,1,1,2,1,2,common flares,0
C,S,O,1,3,1,1,2,1,2,common flares,0
H,A,X,1,3,1,1,1,1,2,common flares,2
B,X,O,2,1,1,1,2,1,1,common flares,1
H,R,X,1,2,1,1,1,1,2,common flares,0
C,S,O,2,2,1,2,2,1,2,common flares,0
H,S,X,1,3,1,1,1,1,2,common flares,0
H,S,X,2,2,3,1,2,1,2,common flares,0
C,S,O,1,2,1,1,2,1,2,common flares,0
C,A,I,1,3,1,1,2,1,2,common flares,0
E,S,I,1,3,1,1,2,1,2,common flares,0
B,X,O,1,2,1,1,2,1,1,common flares,0
D,S,O,1,2,1,1,2,1,2,common flares,1
C,S,O,1,1,1,2,2,1,2,common flares,0
C,S,O,1,2,1,1,2,1,2,common flares,0
H,S,X,1,1,1,1,2,1,2,common flares,0
C,S,O,1,2,1,1,2,1,2,common flares,0
C,S,I,2,2,1,1,2,1,2,common flares,0
D,S,O,1,2,1,2,2,1,2,common flares,2
D,S,O,1,3,1,1,2,1,2,common flares,1
B,X,O,1,3,1,1,2,1,2,common flares,0
C,A,O,1,3,1,1,2,1,2,common flares,0
C,S,O,1,3,1,1,2,1,2,common flares,0
C,R,I,1,3,1,1,2,1,2,common flares,0
B,X,O,1,2,3,2,2,1,2,common flares,0
B,X,I,2,3,1,1,2,1,2,common flares,1
D,H,O,1,2,1,1,2,1,2,common flares,0
H,S,X,1,1,1,1,2,1,2,common flares,0
H,R,X,1,2,1,1,2,1,2,common flares,0
H,A,X,1,2,1,1,2,1,2,common flares,0
C,R,I,1,2,1,1,2,1,2,common flares,0
C,R,O,2,1,1,1,2,1,2,common flares,0
D,K,O,1,3,1,1,2,1,2,common flares,1
D,R,O,1,2,1,1,2,1,2,common flares,0
H,S,X,1,2,1,1,2,1,2,common flares,0
B,X,O,1,2,1,1,2,1,1,common flares,0
B,X,I,1,3,1,1,2,1,2,common flares,0
B,X,O,1,3,1,1,2,1,1,common flares,0
C,S,O,1,3,1,1,2,1,2,common flares,1
D,A,I,1,3,1,1,2,1,2,common flares,0
B,X,O,1,3,1,1,2,1,2,common flares,0
B,X,O,1,2,1,1,2,1,2,common flares,0
B,X,I,1,3,1,1,2,1,1,common flares,0
B,X,I,1,3,1,1,2,1,1,common flares,0
D,A,I,1,3,1,1,2,1,2,common flares,0
C,H,I,2,3,1,1,2,1,2,common flares,0
D,K,O,1,3,1,2,2,1,2,common flares,2
B,X,O,1,3,1,1,2,1,2,common flares,1
C,K,I,1,3,1,1,2,1,1,common flares,0
C,A,O,1,2,1,1,2,1,2,common flares,0
D,A,I,1,2,1,1,2,1,2,common flares,0
B,X,O,1,3,1,1,2,1,2,common flares,0
B,X,I,1,3,1,1,2,1,2,common flares,0
B,X,O,1,3,1,1,2,1,2,common flares,1
B,X,I,1,2,1,2,2,1,2,common flares,0
B,X,I,1,3,1,1,2,1,1,common flares,0
C,A,I,1,3,1,2,2,1,2,common flares,0
C,H,I,2,2,3,1,2,1,2,common flares,1
F,K,I,1,2,1,2,2,1,2,common flares,1
C,R,O,1,2,3,1,2,1,2,common flares,0
E,A,O,1,2,1,1,2,1,2,common flares,0
C,S,O,1,1,1,1,2,1,2,common flares,0
D,A,I,1,3,1,2,2,1,2,common flares,0
B,X,O,2,3,1,1,2,1,2,common flares,0
C,R,O,1,3,1,1,2,1,2,common flares,0
D,S,I,1,2,1,2,2,1,2,common flares,0
H,A,X,1,3,1,1,1,1,2,common flares,0
B,X,O,1,2,1,1,2,1,1,common flares,0
C,A,O,1,3,1,2,2,1,2,common flares,0
D,H,I,1,3,1,1,2,1,2,common flares,0
F,A,I,2,3,1,2,2,1,2,common flares,0
E,K,O,1,3,1,1,2,1,2,common flares,1
H,S,X,1,3,1,1,2,1,2,common flares,0
D,K,C,1,3,1,2,2,1,2,common flares,0
B,X,O,1,3,1,1,2,1,1,common flares,0
B,X,O,2,2,3,1,2,1,1,common flares,0
D,A,I,1,3,1,1,2,1,2,common flares,0
C,A,I,1,3,1,2,2,1,2,common flares,0
H,R,X,1,2,1,1,1,1,2,common flares,0
C,R,O,1,1,1,2,2,1,1,common flares,0
D,H,I,2,3,3,2,2,1,2,common flares,0
E,K,I,2,2,3,2,2,1,2,common flares,0
E,K,I,1,3,1,1,2,1,2,common flares,0
C,S,O,1,2,1,1,2,1,2,common flares,0
D,K,C,1,3,1,2,2,1,2,common flares,1
B,X,O,1,3,1,1,2,1,1,common flares,0
B,X,O,2,2,3,1,2,1,1,common flares,0
D,S,O,1,3,1,2,2,1,2,common flares,0
H,R,X,1,3,1,1,2,1,2,common flares,0
H,A,X,1,3,1,2,2,1,2,common flares,0
H,R,X,1,2,1,1,1,1,2,common flares,0
H,S,X,1,3,1,1,2,1,2,common flares,0
C,R,I,1,3,1,1,2,1,2,common flares,0
C,H,I,1,2,1,2,2,1,2,common flares,1
F,A,I,1,3,1,2,2,1,2,common flares,0
E,K,I,2,3,1,2,2,1,2,common flares,0
H,S,X,1,2,1,1,2,1,2,common flares,0
D,K,C,1,3,1,2,2,1,2,common flares,0
D,S,I,1,3,1,2,2,1,2,common flares,0
H,A,X,1,3,1,2,2,1,2,common flares,0
H,R,X,1,2,1,1,1,1,1,common flares,0
H,S,X,1,2,1,1,2,1,2,common flares,0
B,X,O,1,3,1,1,2,1,2,common flares,0
C,H,O,1,2,1,2,2,1,2,common flares,0
F,A,I,2,3,3,2,2,1,2,common flares,0
E,K,C,1,3,1,2,2,1,2,common flares,0
C,S,O,1,3,1,1,2,1,2,common flares,0
D,K,C,2,3,1,2,2,2,2,common flares,2
C,S,O,1,2,1,2,2,1,2,common flares,0
C,R,O,1,2,1,2,2,1,1,common flares,0
B,X,O,1,3,1,1,2,1,1,common flares,0
H,R,X,1,3,1,1,2,1,2,common flares,0
E,A,I,1,3,1,1,2,1,2,common flares,0
B,X,O,1,2,1,1,2,1,1,common flares,0
H,S,X,2,3,1,2,2,1,2,common flares,0
E,A,I,2,2,3,2,2,1,2,common flares,0
E,K,I,1,2,1,2,2,1,2,common flares,1
H,S,X,1,3,1,1,2,1,2,common flares,0
D,K,C,2,3,3,2,2,2,2,common flares,0
C,S,I,1,2,1,2,2,1,1,common flares,0
B,X,O,1,3,1,1,2,1,1,common flares,0
E,A,I,1,3,1,2,2,1,2,common flares,0
B,X,O,1,3,1,1,2,1,1,common flares,0
H,K,X,1,2,1,2,2,1,2,common flares,0
F,K,I,1,3,3,2,2,2,2,common flares,0
E,A,I,2,2,3,2,2,1,2,common flares,0
H,H,X,1,3,1,1,2,1,2,common flares,0
D,K,C,2,2,1,2,2,2,2,common flares,1
C,A,O,1,3,1,2,2,1,2,common flares,0
E,K,I,1,3,1,1,2,1,2,common flares,0
H,S,X,1,2,1,2,2,1,2,common flares,0
F,S,O,1,2,1,2,2,1,2,common flares,0
E,A,I,2,2,1,2,2,1,2,common flares,2
H,S,X,1,2,1,1,2,1,2,common flares,0
D,K,C,2,2,3,2,2,2,2,common flares,1
H,S,X,1,1,1,2,2,1,2,common flares,0
E,S,I,1,3,1,1,2,1,2,common flares,0
H,S,X,1,2,1,2,2,1,2,common flares,0
F,S,O,1,2,1,2,2,1,2,common flares,0
E,S,O,2,2,3,2,2,1,2,common flares,0
H,S,X,1,2,1,1,2,1,2,common flares,0
D,K,C,2,2,1,2,2,2,2,common flares,1
H,S,X,1,2,1,2,2,1,2,common flares,0
C,S,O,1,2,1,2,2,1,2,common flares,0
B,X,O,1,3,1,1,2,1,1,common flares,0
B,X,O,1,3,1,1,2,1,1,common flares,0
H,S,X,1,3,1,1,1,1,2,common flares,0
H,S,X,1,2,1,2,2,1,2,common flares,0
E,A,O,2,3,1,2,2,1,2,common flares,0
H,S,X,1,3,1,1,2,1,2,common flares,0
D,K,C,2,2,3,2,2,2,2,common flares,1
H,S,X,1,3,1,2,2,1,2,common flares,0
C,A,O,1,2,1,2,2,1,2,common flares,0
D,A,O,1,3,1,1,2,1,2,common flares,0
D,S,O,1,3,1,1,2,1,2,common flares,0
C,S,O,1,1,3,2,2,1,2,common flares,0
H,S,X,1,2,1,1,2,1,2,common flares,0
D,K,C,2,3,3,2,2,2,2,common flares,0
C,R,O,1,2,1,2,2,1,2,common flares,0
D,R,O,1,3,1,1,2,1,2,common flares,0
E,A,O,1,3,1,1,2,1,2,common flares,0
C,R,O,1,3,1,1,2,1,1,common flares,0
E,K,C,1,3,1,1,2,2,2,common flares,0
H,A,X,1,3,1,1,1,1,1,common flares,0
D,R,O,1,3,1,1,2,1,1,common flares,0
C,S,O,1,3,1,1,2,1,1,common flares,0
H,R,X,1,2,1,1,1,1,1,common flares,0
H,S,X,1,1,1,1,2,1,1,common flares,0
C,A,O,1,2,1,1,2,1,1,common flares,0
B,X,O,1,3,1,1,2,1,1,common flares,0
C,A,O,1,3,1,1,2,1,1,common flares,0
C,A,O,1,2,1,1,2,1,1,common flares,1
B,X,O,1,3,1,1,2,1,1,common flares,0
C,A,O,1,2,1,1,2,1,1,common flares,0
B,X,O,1,3,1,1,2,1,1,common flares,0
B,X,I,1,2,1,1,2,1,1,common flares,0
C,S,O,2,2,1,1,2,1,1,common flares,0
B,X,O,1,3,1,1,2,1,1,common flares,0
B,X,O,1,2,1,1,2,1,1,common flares,0
D,R,I,1,3,1,1,2,1,1,common flares,1
H,S,X,1,3,1,1,2,1,1,common flares,0
B,X,O,1,2,1,1,2,1,1,common flares,0
B,X,O,1,2,1,2,2,1,1,common flares,0
H,S,X,1,2,1,1,2,1,1,common flares,0
B,X,O,1,3,1,1,2,1,1,common flares,0
B,X,O,2,2,1,2,2,1,1,common flares,0
C,R,O,1,3,1,1,2,1,1,common flares,5
B,X,O,1,2,1,2,2,1,1,common flares,0
B,X,O,1,3,1,1,2,1,1,common flares,0
D,A,I,2,3,1,1,2,1,1,common flares,2
B,X,O,1,3,1,1,2,1,1,common flares,0
D,R,O,1,3,1,1,2,1,1,common flares,0
B,X,O,1,3,1,1,2,1,1,common flares,0
B,X,O,1,1,1,2,2,1,1,common flares,0
B,X,O,1,1,1,1,2,1,1,common flares,0
C,R,I,2,1,1,2,2,1,1,common flares,0
B,X,O,1,3,1,1,2,1,1,common flares,0
D,R,I,1,3,1,2,2,1,1,common flares,0
B,X,O,1,2,1,1,2,1,1,common flares,0
C,R,O,1,3,1,1,2,1,1,common flares,0
E,A,C,1,3,1,1,2,1,1,common flares,3
H,A,X,1,2,1,1,1,1,1,common flares,1
B,X,O,1,2,1,2,2,1,1,common flares,1
B,X,O,1,3,1,1,2,1,1,common flares,0
B,X,O,1,2,1,1,2,1,1,common flares,0
D,K,I,2,3,1,2,2,1,1,common flares,2
E,A,I,2,2,1,1,2,1,1,common flares,8
D,A,I,1,3,1,2,2,1,1,common flares,0
B,X,O,1,3,1,1,2,1,1,common flares,0
H,R,X,1,2,1,1,2,1,1,common flares,0
C,R,O,1,2,1,1,2,1,1,common flares,0
D,A,O,2,3,3,2,2,1,1,common flares,2
E,S,O,2,3,1,2,2,1,1,common flares,5
C,R,O,1,3,1,1,2,1,1,common flares,0
E,S,I,2,3,1,2,2,1,1,common flares,0
C,R,O,1,3,1,1,2,1,1,common flares,0
D,A,I,2,3,1,2,2,1,1,common flares,0
E,A,I,2,3,1,2,2,1,1,common flares,4
H,S,X,1,3,1,1,1,1,1,common flares,0
D,A,O,1,3,1,1,2,1,1,common flares,1
D,R,O,1,3,1,1,2,1,1,common flares,1
D,S,O,1,3,1,2,2,1,1,common flares,0
B,X,O,1,2,1,1,2,1,1,common flares,0
D,A,I,2,2,1,2,2,1,1,common flares,0
E,A,I,2,3,3,2,2,1,1,common flares,6
H,S,X,1,1,1,1,1,1,1,common flares,0
D,S,I,2,3,1,1,2,1,1,common flares,0
D,S,O,2,3,2,1,2,1,1,common flares,1
D,R,O,1,3,1,1,2,1,1,common flares,0
D,S,O,1,3,1,2,2,1,1,common flares,0
D,S,O,1,3,1,1,2,1,1,common flares,0
D,S,O,1,2,1,2,2,1,1,common flares,0
E,K,C,2,3,3,2,2,2,1,common flares,6
H,R,X,1,3,1,1,1,1,1,common flares,0
D,A,O,1,2,1,2,2,1,1,common flares,2
C,S,I,1,3,1,1,2,1,1,common flares,1
C,S,O,1,2,1,1,2,1,1,common flares,0
B,X,O,1,3,1,1,2,1,1,common flares,1
B,X,O,1,3,1,1,2,1,1,common flares,0
D,S,O,1,2,1,2,2,1,1,common flares,1
D,A,I,1,3,1,1,2,1,1,common flares,0
D,S,O,1,2,1,2,2,1,1,common flares,0
F,K,C,2,3,1,2,2,2,1,common flares,0
D,A,I,1,3,1,2,2,1,1,common flares,0
C,R,O,1,2,1,1,2,1,1,common flares,0
C,R,O,1,3,1,1,2,1,1,common flares,0
B,X,O,1,3,1,1,2,1,1,common flares,1
D,S,O,1,2,1,2,2,1,1,common flares,0
H,A,X,1,2,1,2,2,1,1,common flares,0
D,A,O,1,3,1,2,2,1,1,common flares,0
F,K,C,2,2,1,2,2,1,1,common flares,4
D,S,I,2,2,1,2,2,1,1,common flares,0
B,X,O,1,2,1,1,2,1,1,common flares,0
C,R,O,1,3,1,1,2,1,1,common flares,0
B,X,O,1,3,1,1,2,1,1,common flares,1
B,X,O,1,3,1,1,2,1,1,common flares,0
D,S,O,1,2,1,1,2,1,1,common flares,3
H,R,X,1,2,1,2,2,1,1,common flares,0
H,A,X,1,2,1,2,2,1,1,common flares,0
C,S,O,1,2,1,2,2,1,1,common flares,0
F,A,I,1,2,1,2,2,2,1,common flares,1
D,S,O,1,2,1,2,2,1,1,common flares,1
C,R,O,1,2,1,1,2,1,1,common flares,0
D,A,C,2,3,1,1,2,1,1,common flares,2
B,X,O,1,1,1,1,2,1,1,common flares,0
E,A,I,2,3,1,1,2,1,1,common flares,2
H,A,X,1,2,1,2,2,1,1,common flares,0
C,S,O,1,3,1,2,2,1,1,common flares,1
F,A,C,2,3,1,2,2,2,1,common flares,2
D,S,O,1,2,1,2,2,1,1,common flares,0
D,A,I,2,3,1,2,2,1,1,common flares,3
B,X,O,1,3,1,1,2,1,1,common flares,0
E,A,I,2,3,1,2,2,1,1,common flares,0
D,S,O,2,3,1,2,2,1,1,common flares,0
F,A,I,2,2,1,2,2,1,1,common flares,2
H,S,X,1,1,1,2,2,1,1,common flares,1
D,A,I,2,2,1,2,2,1,1,common flares,0
B,X,O,1,2,1,1,2,1,1,common flares,0
E,S,I,2,2,1,2,2,1,1,common flares,0
H,S,X,1,2,1,1,1,1,1,common flares,0
F,A,C,2,2,1,2,2,1,1,common flares,1
H,S,X,1,2,1,2,2,1,1,common flares,0
E,A,O,1,2,1,2,2,1,1,common flares,1
E,A,I,1,2,1,2,2,1,1,common flares,1
B,X,O,1,3,1,1,2,1,1,common flares,0
C,S,O,1,3,1,1,2,1,1,common flares,1
H,S,X,1,2,1,2,2,1,1,common flares,0
F,A,I,2,2,1,2,2,1,1,common flares,0
E,A,O,1,2,1,2,2,1,1,common flares,0
E,S,I,1,2,1,2,2,1,1,common flares,0
E,A,O,1,3,1,1,2,1,1,common flares,2
H,S,X,1,2,1,1,1,1,1,common flares,0
E,S,O,1,1,1,2,2,1,1,common flares,0
E,S,I,2,3,1,2,2,1,1,common flares,0
C,S,O,2,2,1,1,2,1,1,common flares,1
E,S,O,1,2,1,1,2,1,1,common flares,0
E,A,I,1,2,1,2,2,1,1,common flares,0
H,S,X,1,2,1,1,2,1,1,common flares,2
E,A,O,1,3,1,1,2,1,1,common flares,0
H,H,X,1,2,1,1,1,1,1,common flares,0
B,X,O,1,3,1,1,2,1,1,common flares,0
C,R,O,1,3,1,1,2,1,1,common flares,0
E,S,I,1,2,1,2,2,1,1,common flares,0
C,S,O,2,3,1,1,2,1,1,common flares,0
E,S,O,1,3,1,1,2,1,1,common flares,0
H,H,X,1,3,1,1,1,1,1,common flares,0
B,X,O,1,3,1,1,2,1,1,common flares,0
H,S,X,1,2,1,1,1,1,1,common flares,1
B,X,O,1,3,1,1,2,1,1,common flares,0
C,R,O,1,2,1,1,2,1,1,common flares,3
D,R,O,1,2,1,1,2,1,1,common flares,0
E,S,O,1,2,1,2,2,1,1,common flares,0
C,S,O,2,2,1,1,2,1,1,common flares,0
E,S,O,1,3,1,1,2,1,1,common flares,0
C,H,O,1,3,1,1,2,1,1,common flares,0
B,X,O,1,1,1,1,2,1,1,common flares,0
H,S,X,1,2,1,1,1,1,1,common flares,0
B,X,O,1,3,1,1,2,1,1,common flares,0
E,R,C,2,3,1,1,2,1,1,common flares,0
D,R,I,1,3,1,1,2,1,1,common flares,0
H,S,X,1,1,1,2,2,1,1,common flares,0
C,S,O,1,2,1,1,2,1,1,common flares,0
E,S,O,1,2,1,1,2,1,1,common flares,2
C,K,O,1,2,1,1,2,1,1,common flares,2
H,S,X,2,2,1,1,1,1,1,common flares,0
B,X,O,1,2,1,1,2,1,1,common flares,0
E,K,C,1,3,1,2,2,1,1,common flares,0
E,A,I,1,3,1,2,2,1,1,common flares,0
C,R,O,1,3,1,1,2,1,1,common flares,0
H,R,X,1,1,1,2,2,1,1,common flares,0
H,S,X,1,2,1,1,2,1,1,common flares,0
E,S,O,1,2,1,1,2,1,1,common flares,0
C,S,O,1,3,1,1,2,1,1,common flares,0
H,S,X,1,2,1,1,1,1,1,common flares,0
E,K,C,1,3,1,2,2,2,1,common flares,2
E,R,O,1,3,1,2,2,2,1,common flares,0
H,S,X,1,3,1,1,1,1,1,common flares,0
H,S,X,1,1,1,1,2,1,1,common flares,0
D,S,O,2,2,1,1,2,1,1,common flares,0
C,S,O,2,1,1,1,2,1,1,common flares,0
H,S,X,1,1,1,1,1,1,1,common flares,0
B,X,O,1,3,1,1,2,1,1,common flares,0
E,A,C,2,1,3,2,2,1,1,common flares,5
E,A,O,1,1,1,2,2,1,1,common flares,3
H,R,X,1,3,1,1,2,1,1,common flares,0
H,S,X,1,2,1,1,1,1,1,common flares,0
H,S,X,1,2,1,1,1,1,1,common flares,0
H,S,X,1,3,1,1,2,1,1,common flares,0
H,S,X,1,3,1,1,2,1,1,common flares,1
H,H,X,1,3,1,1,2,1,1,common flares,0
H,S,X,1,3,1,1,1,1,1,common flares,0
F,K,C,2,3,3,2,2,2,1,common flares,1
E,A,O,2,2,1,2,2,1,1,common flares,1
D,S,O,1,3,1,1,2,1,1,common flares,1
H,S,X,1,3,1,1,1,1,1,common flares,0
C,S,O,1,3,1,1,2,1,1,common flares,0
H,S,X,1,2,1,1,2,1,1,common flares,0
H,S,X,1,2,1,1,2,1,1,common flares,0
C,H,O,1,3,1,1,2,1,1,common flares,1
B,X,O,1,1,1,1,2,1,1,common flares,0
F,K,C,2,3,1,2,2,2,1,common flares,0
E,A,O,2,2,1,2,2,1,1,common flares,0
D,S,I,1,3,1,1,2,1,1,common flares,0
H,S,X,1,3,1,1,1,1,1,common flares,0
C,R,I,1,3,1,1,2,1,1,common flares,0
D,A,O,1,3,1,1,2,1,1,common flares,1
H,S,X,1,2,1,1,2,1,1,common flares,0
C,S,O,2,3,1,1,2,1,1,common flares,1
C,S,O,1,2,1,1,2,1,1,common flares,0
F,K,I,2,2,1,2,2,2,1,common flares,1
E,R,O,2,2,1,2,2,1,1,common flares,0
C,R,I,1,3,1,1,2,1,1,common flares,0
D,R,O,1,3,1,1,2,1,1,common flares,0
